,ACWI IMI,ACWI,World,Emerging Markets,Europe,North America,S&P 500,NASDAQ,Dow Jones,70/30
1973-01,,,130.825,,119.81,124.549,,,,
1973-02,,,131.515,,127.876,118.981,,,,
1973-03,,,131.476,,131.194,117.542,,,,
1973-04,,,124.631,,131.608,112.928,,,,
1973-05,,,124.046,,133.226,110.802,,,,
1973-06,,,124.611,,138.043,110.937,,,,
1973-07,,,127.351,,130.381,115.06,,,,
1973-08,,,121.822,,124.579,111.264,,,,
1973-09,,,125.11,,126.939,114.925,,,,
1973-10,,,126.136,,129.984,115.646,,,,
1973-11,,,109.548,,110.038,103.516,,,,
1973-12,,,108.41,,106.272,104.931,,,,
1974-01,,,109.006,,105.85,103.5,,,,
1974-02,,,110.459,,108.841,103.599,,,,
1974-03,,,107.416,,104.132,100.887,,,,
1974-04,,,105.382,,108.322,96.649,,,,
1974-05,,,100.892,,99.629,93.066,,,,
1974-06,,,97.476,,94.202,91.218,,,,
1974-07,,,91.462,,92.889,84.582,,,,
1974-08,,,82.39,,83.036,76.891,,,,
1974-09,,,74.454,,74.679,68.08,,,,
1974-10,,,81.329,,77.675,79.041,,,,
1974-11,,,79.808,,77.478,75.03,,,,
1974-12,,,78.237,,77.731,73.599,,,,
1975-01,,,89.398,,95.681,82.501,,,,
1975-02,,,97.047,,107.948,86.994,,,,
1975-03,,,97.51,,104.237,88.464,,,,
1975-04,,,101.3,,111.395,91.734,,,,
1975-05,,,103.447,,109.336,95.35,,,,
1975-06,,,104.505,,102.035,99.341,,,,
1975-07,,,98.483,,97.869,93.24,,,,
1975-08,,,96.723,,99.671,91.092,,,,
1975-09,,,92.428,,94.582,87.797,,,,
1975-10,,,98.555,,101.904,92.681,,,,
1975-11,,,101.013,,104.29,95.431,,,,
1975-12,,,100.863,,106.254,94.183,,,,
1976-01,,,109.636,,110.602,104.605,,,,
1976-02,,,108.582,,108.157,103.781,,,,
1976-03,,,109.621,,105.004,107.141,,,,
1976-04,,,108.579,,103.471,105.936,,,,
1976-05,,,106.525,,98.433,104.549,,,,
1976-06,,,109.559,,97.961,108.274,,,,
1976-07,,,108.288,,95.92,107.307,,,,
1976-08,,,107.791,,93.647,106.786,,,,
1976-09,,,108.443,,90.88,107.559,,,,
1976-10,,,104.395,,83.93,104.345,,,,
1976-11,,,103.725,,87.398,103.23,,,,
1976-12,,,111.262,,94.726,109.151,,,,
1977-01,,,107.261,,95.111,103.403,,,,
1977-02,,,106.52,,95.709,101.217,,,,
1977-03,,,105.581,,96.153,99.993,,,,
1977-04,,,106.46,,99.423,99.794,,,,
1977-05,,,104.734,,98.457,97.657,,,,
1977-06,,,108.395,,99.404,101.799,,,,
1977-07,,,106.659,,97.612,100.346,,,,
1977-08,,,106.77,,101.708,98.108,,,,
1977-09,,,107.812,,105.794,97.931,,,,
1977-10,,,105.68,,108.17,93.893,,,,
1977-11,,,106.709,,106.059,96.076,,,,
1977-12,,,108.521,,111.438,96.802,,,,
1978-01,,,105.02,,110.95,91.556,,,,
1978-02,,,103.901,,110.35,89.942,,,,
1978-03,,,108.282,,113.815,91.924,,,,
1978-04,,,112.831,,111.787,99.84,,,,
1978-05,,,113.929,,114.201,100.411,,,,
1978-06,,,114.736,,114.668,99.118,,,,
1978-07,,,122.678,,123.049,104.353,,,,
1978-08,,,125.16,,126.971,106.625,,,,
1978-09,,,126.266,,131.807,106.383,,,,
1978-10,,,123.462,,137.597,98.399,,,,
1978-11,,,118.757,,125.176,100.193,,,,
1978-12,,,122.28,,131.098,102.686,,,,
1979-01,,,125.06,,131.307,109.152,,,,
1979-02,,,122.353,,133.477,107.815,,,,
1979-03,,,127.068,,141.415,115.922,,,,
1979-04,,,126.522,,142.921,115.932,,,,
1979-05,,,123.964,,135.322,113.46,,,,
1979-06,,,127.17,,138.839,117.325,,,,
1979-07,,,127.746,,140.468,117.522,,,,
1979-08,,,132.489,,144.26,123.381,,,,
1979-09,,,135.076,,151.085,123.33,,,,
1979-10,,,124.639,,137.049,114.313,,,,
1979-11,,,128.077,,142.234,119.107,,,,
1979-12,,,131.101,,142.095,121.016,,,,
1980-01,,,138.591,,148.62,128.557,,,,
1980-02,,,138.248,,149.913,128.476,,,,
1980-03,,,122.959,,127.983,114.684,,,,
1980-04,,,130.581,,140.398,118.892,,,,
1980-05,,,136.573,,143.535,124.559,,,,
1980-06,,,142.683,,153.192,128.336,,,,
1980-07,,,146.628,,154.859,135.743,,,,
1980-08,,,149.054,,155.585,136.247,,,,
1980-09,,,153.086,,157.527,138.485,,,,
1980-10,,,157.102,,162.469,140.703,,,,
1980-11,,,163.233,,159.851,153.911,,,,
1980-12,,,159.228,,152.799,147.957,,,,
1981-01,,,154.155,,146.33,142.381,,,,
1981-02,,,154.165,,144.428,144.112,,,,
1981-03,,,159.204,,146.673,148.703,,,,
1981-04,,,158.838,,144.642,145.314,,,,
1981-05,,,155.298,,132.557,144.636,,,,
1981-06,,,154.584,,128.943,143.584,,,,
1981-07,,,151.506,,124.845,142.908,,,,
1981-08,,,148.096,,127.919,134.825,,,,
1981-09,,,136.528,,115.431,126.746,,,,
1981-10,,,140.274,,119.513,131.525,,,,
1981-11,,,150.253,,133.618,137.471,,,,
1981-12,,,146.62,,128.672,133.017,,,,
1982-01,,,144.023,,130.093,129.959,,,,
1982-02,,,134.865,,124.585,122.131,,,,
1982-03,,,130.746,,123.768,120.388,,,,
1982-04,,,136.721,,127.078,124.523,,,,
1982-05,,,132.831,,126.505,119.816,,,,
1982-06,,,126.395,,115.835,116.837,,,,
1982-07,,,124.336,,117.821,114.635,,,,
1982-08,,,132.927,,118.088,128.297,,,,
1982-09,,,133.113,,120.344,129.252,,,,
1982-10,,,141.829,,121.412,142.996,,,,
1982-11,,,148.919,,122.855,147.71,,,,
1982-12,,,155.156,,128.701,150.368,,,,
1983-01,,,158.034,,128.532,155.718,,,,
1983-02,,,160.914,,133.121,158.57,,,,
1983-03,,,166.139,,139.432,163.355,,,,
1983-04,,,177.561,,150.413,175.87,,,,
1983-05,,,175.383,,148.457,173.053,,,,
1983-06,,,180.452,,150.71,178.974,,,,
1983-07,,,176.796,,148.248,173.08,,,,
1983-08,,,177.312,,144.658,175.795,,,,
1983-09,,,180.467,,146.788,177.541,,,,
1983-10,,,177.908,,146.308,174.316,,,,
1983-11,,,182.061,,150.243,178.231,,,,
1983-12,,,183.952,,150.996,176.755,,,,
1984-01,,,185.039,,156.708,173.776,,,,
1984-02,,,181.537,,161.062,166.403,,,,
1984-03,,,189.609,,164.475,168.193,,,,
1984-04,,,188.45,,161.791,168.825,,,,
1984-05,,,173.852,,149.523,158.901,,,,
1984-06,,,174.884,,148.789,161.193,,,,
1984-07,,,168.266,,138.553,159.079,,,,
1984-08,,,184.682,,149.83,176.144,,,,
1984-09,,,183.518,,147.151,175.673,,,,
1984-10,,,185.009,,147.056,175.604,,,,
1984-11,,,183.845,,146.203,173.39,,,,
1984-12,,,187.205,,146.816,176.96,,,,
1985-01,,,197.057,,153.162,190.482,100.0,100.0,,
1985-02,,,196.964,,146.376,191.376,100.86287799968605,101.97344806569808,,
1985-03,,,203.303,,162.81,191.531,100.57340018443399,100.17940436960893,,
1985-04,,,202.242,,167.013,190.541,100.11133827467893,100.68173441451913,,
1985-05,,,212.126,,175.235,201.207,105.52246167081994,104.34157698455681,,
1985-06,,,215.397,,176.805,203.182,106.80287306604217,106.27915293631212,,
1985-07,,,219.314,,192.922,202.601,106.28513777166471,108.10906874634408,,
1985-08,,,220.587,,202.268,200.129,105.0102988116442,106.81736604513885,,
1985-09,,,221.702,,205.034,192.696,101.36391297758998,100.57408522276955,,
1985-10,,,233.095,,227.22,200.388,105.6727730136477,104.95155622121663,,
1985-11,,,245.573,,244.399,213.568,112.54801128621999,112.66594411440008,,
1985-12,,,256.514,,254.45,223.184,117.61954742312248,116.57695718187972,,
1986-01,,,259.748,,258.701,223.284,117.89789735710272,120.48797024935938,,
1986-02,,,282.575,,288.794,238.54,126.32633301824157,128.99174174881153,,
1986-03,,,309.601,,311.782,251.619,132.99559505792956,134.44563896491215,,
1986-04,,,317.502,,340.054,247.906,131.1139552805279,137.49551324826373,,
1986-05,,,315.983,,309.327,258.86,137.69971573784815,143.59526181496693,,
1986-06,,,328.041,,322.092,260.928,139.6425928405081,145.49694375283192,,
1986-07,,,330.052,,318.619,246.469,131.44797010456472,133.261563555509,,
1986-08,,,358.26,,353.483,263.49,140.80609352584966,137.38786405651413,,
1986-09,,,343.351,,330.311,241.588,128.77581753400716,125.8342292236841,,
1986-10,,,336.821,,331.616,254.056,135.8236314065166,129.45818872980524,,
1986-11,,,350.458,,348.757,259.134,138.7407417726732,129.02762481272808,,
1986-12,,,356.825,,356.905,252.588,134.81600600463872,125.15248385919122,,
1987-01,,,398.106,,372.012,285.543,152.5802923353872,140.68890883730768,,
1987-02,,,410.589,,384.631,295.421,158.2141092700178,152.4937141675797,,
1987-03,,,435.354,,402.942,304.003,162.3893582797213,154.32364092758542,,
1987-04,,,460.209,,418.004,300.326,160.52996577029742,149.91028686522182,,
1987-05,,,460.177,,414.976,301.205,161.4986350931582,149.4438398842281,,
1987-06,,,459.236,,426.102,315.703,169.23675985998236,152.38607592580388,,
1987-07,,,467.738,,439.733,331.064,177.39798196297863,156.04591849584153,,
1987-08,,,494.701,,442.68,342.8,183.59960965770975,163.25797634411475,,
1987-09,,,485.4,,444.857,335.154,179.16271103049957,159.41871845449444,,
1987-10,,,402.279,,359.522,262.515,140.17145601615735,116.00286100913644,,
1987-11,,,391.765,,342.885,239.812,128.20798129020903,109.50843158927262,,
1987-12,,100.0,407.994,100.0,361.993,255.907,137.54940439502042,118.58628831149434,,100.0
1988-01,,102.33,417.213,109.419,346.347,265.033,143.1108391339892,123.6813767883771,,104.407414436977
1988-02,,108.073,440.683,109.682,365.925,275.747,149.09536271456423,131.6828072929453,,108.59405245992966
1988-03,,111.222,453.227,120.643,375.152,267.224,144.12403697106885,134.4097559009956,,114.01351907633936
1988-04,,112.448,458.164,126.266,381.252,268.979,145.48236901889123,136.0602782913924,,116.47708603390434
1988-05,,110.041,448.228,129.617,373.265,269.493,145.94443942321217,132.8668717523747,,115.63625808934204
1988-06,,109.746,446.842,133.71,368.67,281.959,152.2574138871881,141.62181374926882,,116.4814170173857
1988-07,,111.593,454.478,129.921,368.675,279.881,151.43349196651917,138.96662031907786,,116.88455175381769
1988-08,,105.278,428.746,125.919,351.128,269.225,145.58814335293425,135.12737337943125,,111.1719172523093
1988-09,,109.618,446.168,133.736,369.398,279.433,151.37226313582676,139.110152574744,,116.40458198463052
1988-10,,116.601,475.074,132.541,402.762,287.194,155.30256284449712,137.24434275082174,,121.37161486438418
1988-11,,120.314,490.802,131.761,406.826,282.144,152.36876065643287,133.29744661942556,,123.97006019035413
1988-12,,121.202,494.428,134.871,408.086,286.156,154.60668800954653,136.84965094768737,,125.48900810001511
1989-01,,125.369,511.511,132.661,422.022,307.183,165.60151040176578,143.98994266812758,,127.90717090669726
1989-02,,124.408,507.484,142.524,416.347,297.044,160.80831570427765,143.415857445358,,130.05515332491382
1989-03,,123.495,503.406,155.992,418.479,302.566,164.1540873472422,145.92751861988285,,133.01051423885218
1989-04,,126.365,514.189,184.242,429.197,317.427,172.37655527006262,153.4266190795408,,142.23130449243305
1989-05,,123.158,500.763,186.076,406.365,327.979,178.4334355626019,160.10046381898732,,140.05638513405682
1989-06,,121.227,494.288,163.285,422.246,326.509,177.01943013015713,156.18943980153395,,133.6423837387014
1989-07,,134.694,549.295,173.493,471.025,355.121,192.66268282854094,162.82740147706386,,146.55954345662704
1989-08,,131.299,535.165,177.004,464.248,359.562,195.65217539035928,168.3889369349403,,144.81027039107673
1989-09,,135.039,549.417,198.982,471.304,357.443,194.37175550057117,169.68065058611924,,152.90396735470208
1989-10,,130.458,530.233,201.307,439.481,349.028,189.4783589042418,163.4732637776402,,149.70268331517133
1989-11,,135.359,550.528,191.64,462.921,354.971,192.61258187912028,163.65266814724913,,151.55698813596453
1989-12,,139.569,567.338,214.698,511.749,361.928,196.73772993940318,163.1862102162817,,160.26694263447808
1990-01,,132.914,539.944,221.271,509.35,336.668,183.19878507321297,149.19266938678618,,156.3219597410045
1990-02,,127.092,515.886,229.757,496.109,340.343,184.76312733218305,152.7807567789645,,153.2448898159073
1990-03,,118.996,483.818,197.85,502.064,347.008,189.24455447361214,156.26120592936698,,140.19232424723356
1990-04,,117.243,475.922,210.656,487.654,337.479,184.15630952567022,150.73555353540706,,141.31296703345222
1990-05,,129.242,525.101,227.603,526.255,367.21,201.09669941944742,164.6932113009861,,154.94521981163052
1990-06,,128.119,520.408,235.143,543.594,364.855,199.30968061111943,165.87727576041547,,155.51576340837147
1990-07,,129.157,524.178,255.211,565.311,363.879,198.26865457629447,157.22999390524464,,160.2860795669167
1990-08,,116.748,474.129,221.94,508.023,330.664,179.5691080501981,136.77789576982806,,143.30430824909143
1990-09,,104.283,423.145,193.088,446.981,314.375,170.37798779364866,123.60961066054404,,126.92862814071766
1990-10,,113.615,461.64,189.248,483.414,311.727,169.23675985998236,118.33511781405237,,134.2543505660969
1990-11,,111.441,453.05,178.958,486.993,330.28,179.37983213378737,128.84822044311917,,130.31569974856038
1990-12,,113.564,461.527,185.162,478.687,338.81,183.83343107747112,134.1227023396371,,133.3778420289736
1991-01,,117.497,477.387,200.192,493.513,352.751,191.46578151025227,148.6185841640166,,139.8342071458724
1991-02,,128.281,520.574,229.627,535.434,376.07,204.34782460964075,162.5762419295956,,154.85742461921367
1991-03,,124.438,504.264,238.234,498.387,383.543,208.8849251356922,173.05345054477218,,153.202493928397
1991-04,,125.212,507.243,238.953,492.02,384.225,208.95172640158637,173.92177251166774,,153.97474881725654
1991-05,,127.942,517.764,256.968,505.389,399.028,217.01830205181142,181.5966857495509,,159.69283132896442
1991-06,,119.884,484.846,247.267,461.878,380.329,206.62472503090322,170.7642599865403,,150.7772453174424
1991-07,,125.336,506.778,259.509,492.752,396.294,215.89377443461868,180.13634250291432,,157.79098930334158
1991-08,,124.821,504.198,264.266,500.61,404.538,220.1358247102164,188.6185754040376,,158.09640017425636
1991-09,,127.737,516.432,253.839,514.441,396.401,215.92160263236403,189.0491502710885,,158.91028944829642
1991-10,,129.699,523.818,263.957,502.453,402.951,218.4768699767385,194.82596221251666,,162.40144667420134
1991-11,,123.853,499.994,259.773,489.442,386.08,208.8849251356922,187.97990723620254,,156.45879900604288
1991-12,,132.78,535.364,288.796,526.399,426.082,232.19394588893593,210.38392578896202,,169.45050157072956
1992-01,,130.533,524.448,322.13,525.022,418.782,227.56777134531498,222.53677603427428,,172.8995487608244
1992-02,,128.293,514.402,335.967,525.87,421.993,229.75004230293797,227.29456152034692,100.0,172.80923421343587
1992-03,,122.311,489.176,346.585,506.273,412.167,224.73417105609204,216.63795948553522,99.0145989028054,168.5155574513782
1992-04,,123.67,494.993,342.45,533.011,422.066,231.00261700584906,207.63543858258285,102.79707891942762,169.3151282725248
1992-05,,128.131,513.665,340.418,562.118,422.776,231.22529355520686,210.0143422755929,103.95384989755686,173.4845315934189
1992-06,,123.278,495.424,305.519,550.359,415.753,227.21149226416878,202.22459666319259,101.55461179383703,163.8364575320809
1992-07,,123.39,495.645,308.38,529.386,431.549,236.15764623055338,208.40688613188019,103.85898642900268,164.34788543635844
1992-08,,125.873,506.637,293.44,526.299,420.212,230.49044565210744,202.05237547635124,99.68479208672659,164.51058946332648
1992-09,,124.525,500.953,294.069,516.324,421.539,232.589198038231,209.28238033156958,100.12241025980875,163.3244199186914
1992-10,,121.216,486.384,309.629,479.153,423.507,233.0790966402973,217.1402785804717,98.73305679951113,162.59207771018512
1992-11,,122.976,494.113,306.055,477.827,434.627,240.13249144257435,234.20522134167402,101.14759618570706,163.83764060360392
1992-12,,123.882,497.132,314.929,487.708,438.723,242.5596947120988,242.89558039350263,101.02243647670339,165.96349845169163
1993-01,,124.065,497.833,316.189,487.46,440.881,244.268767384129,249.85288710292383,101.29448999174345,166.3265157763887
1993-02,,126.728,508.673,321.229,492.026,446.631,246.82959017457353,240.67814501313012,103.15543375960505,169.65703944523997
1993-03,,133.75,537.2,331.295,516.303,454.94,251.44463683692265,247.62467694839998,105.12318018029663,177.9121473426204
1993-04,,139.54,561.116,337.122,526.608,445.303,245.0537162366491,237.32327016147488,104.89182299613904,184.3953333426909
1993-05,,142.542,573.068,345.394,531.207,455.351,250.6207149162538,251.35629659624445,107.94840359732554,188.50207912639615
